,dob,dob_month,exam_year
0,26/4/2005,4,2020
1,7/1/2005,1,2020
2,9/10/2005,10,2020
3,3/2/2005,2,2020
4,26/10/2005,10,2020
5,3/3/2005,3,2020
6,24/7/2005,7,2020
7,17/1/2005,1,2020
8,19/5/2005,5,2020
9,11/4/2005,4,2020
10,19/5/2005,5,2020
11,12/9/2005,9,2020
12,19/2/2005,2,2020
13,23/3/2005,3,2020
14,29/4/2005,4,2020
15,21/5/2005,5,2020
16,26/11/2005,11,2020
17,14/1/2005,1,2020
18,27/12/2005,12,2020
19,2/6/2005,6,2020
20,1/11/2005,11,2020
21,28/8/2005,8,2020
22,25/10/2005,10,2020
23,28/11/2005,11,2020
24,18/9/2005,9,2020
25,16/11/2005,11,2020
26,28/2/2005,2,2020
27,20/7/2005,7,2020
28,9/3/2005,3,2020
29,22/6/2005,6,2020
30,13/1/2005,1,2020
31,3/3/2005,3,2020
32,8/8/2005,8,2020
33,2/12/2005,12,2020
34,26/2/2005,2,2020
35,5/1/2005,1,2020
36,16/4/2005,4,2020
37,15/1/2005,1,2020
38,24/3/2005,3,2020
39,21/10/2005,10,2020
40,16/8/2005,8,2020
41,1/8/2005,8,2020
42,4/5/2005,5,2020
43,13/1/2005,1,2020
44,19/1/2005,1,2020
45,1/9/2005,9,2020
46,11/1/2005,1,2020
47,29/11/2005,11,2020
48,23/1/2005,1,2020
49,15/12/2005,12,2020
50,29/6/2005,6,2020
51,5/9/2005,9,2020
52,28/5/2005,5,2020
53,3/7/2005,7,2020
54,11/3/2005,3,2020
55,4/12/2005,12,2020
56,4/5/2005,5,2020
57,13/3/2005,3,2020
58,14/4/2005,4,2020
59,21/10/2005,10,2020
60,17/7/2005,7,2020
61,18/11/2005,11,2020
62,11/8/2005,8,2020
63,14/8/2005,8,2020
64,31/8/2005,8,2020
65,20/4/2005,4,2020
66,8/8/2005,8,2020
67,22/11/2005,11,2020
68,25/3/2005,3,2020
69,18/9/2005,9,2020
70,28/11/2005,11,2020
71,22/8/2005,8,2020
72,20/12/2005,12,2020
73,11/3/2005,3,2020
74,18/8/2005,8,2020
75,26/9/2005,9,2020
76,6/3/2005,3,2020
77,3/3/2005,3,2020
78,11/10/2005,10,2020
79,8/6/2005,6,2020
80,6/7/2005,7,2020
81,6/10/2005,10,2020
82,29/6/2005,6,2020
83,24/7/2005,7,2020
84,2/2/2005,2,2020
85,14/6/2005,6,2020
86,8/4/2005,4,2020
87,31/10/2005,10,2020
88,30/6/2005,6,2020
89,15/1/2005,1,2020
90,7/7/2005,7,2020
91,29/7/2005,7,2020
92,26/4/2005,4,2020
93,13/10/2005,10,2020
94,10/9/2005,9,2020
95,10/7/2005,7,2020
96,30/7/2005,7,2020
97,13/7/2005,7,2020
98,4/10/2005,10,2020
99,28/1/2005,1,2020
